name_first,name_last,uuid,patent_id,inventor_id,#patents
Alexander,Ovtchinnikov,62i3o1hk4m79shdyueibc6clk,8615029,7764723-1,2
Alexander,Ovtchinnikov,zg6jj0o0n4lry21hq0z36lfkw,9440312,7764723-1,2
Chong S.,Park,2eakya6o5mcnf85ux03n6jeav,5584919,5584919-5,4
Chong S.,Park,j73cr2jpnbp1m4r15xc488ky8,4803551,4658294-1,4
Chong S.,Park,kev5wpwbh2s6slphjjf2ei058,5611932,5584919-5,4
Chong S.,Park,qms6d1jyyc3vxhwrp1dzx1iqh,4658294,4658294-1,4
Mukesh,Patel,1r6c3dyx73m93uebupv1h6bki,8499652,8499652-4,14
Mukesh,Patel,37rhlwsddmvgpf8ip3vpo6qma,6051242,5639447-1,14
Mukesh,Patel,b3jnr4mucs9zs185uunrwk423,9424738,5613094-4,14
Mukesh,Patel,ct45cnd8hgcezzhjhfeqcdmdo,6708044,5613094-4,14
Mukesh,Patel,eh6i40gjfuehasnjai4d93ek6,5613094,5613094-4,14
Mukesh,Patel,f6akeyo7gmlc1ozs1n4e824e0,9076322,5613094-4,14
Mukesh,Patel,j7fr5lkzefgbymcukrc5p5a3e,9971772,5613094-4,14
Mukesh,Patel,m6ur7pes7recfgeijhn3zo4ou,8854766,8499652-4,14
Mukesh,Patel,r6o3aycs8w1mv1ju02cuddlo8,8908319,8499652-4,14
Mukesh,Patel,ram8o6fvqqigfntismbac5fyh,5892966,5613094-4,14
Mukesh,Patel,vizvsn1fzxpbe8l7kye7s72go,6986023,5613094-4,14
Mukesh,Patel,vq10lospeipeciqty8gpl66r7,9208825,8499652-4,14
Mukesh,Patel,wqid552jauo45p1t5cu1dozq5,6088786,5613094-4,14
Mukesh,Patel,zpglra35djtxo8cskw8wbwpew,5639447,5639447-1,14
Sujal,Patel,mds90hwmq0b0gt3jxumyhe5bf,7451228,6314466-6,20
Sujal,Patel,nlujdy4onqzmwj5ehp1u78d5h,6889257,6314466-6,20
Sujal M,Patel,xln1isq7gk7uedd2virg2qkhc,7962779,6314466-6,20
Sujal M.,Patel,1ykep9o5gehdrfm3kvezklzdv,7948906,6314466-6,20
Sujal M.,Patel,2j7j48c09c43i00va8lbi8ibi,7743033,6314466-6,20
Sujal M.,Patel,3ho25zjb8l1yuypjzlx320rw7,7920562,6314466-6,20
Sujal M.,Patel,43j4dfkg08lxbxp3lpj9gl1zp,6973081,6314466-6,20
Sujal M.,Patel,5kgoxkso5ti04zhxpadwmejdj,8812717,6314466-6,20
Sujal M.,Patel,5wfinnedy9xbkta2omxfty2rz,6731600,6314466-6,20
Sujal M.,Patel,5zfce2slu2kv7psromvgm0aba,7509524,6314466-6,20
Sujal M.,Patel,8llu2dui4op86ds8e28bil5uf,6314466,6314466-6,20
Sujal M.,Patel,9ghxau73ihpois62hsn1ivlg4,8356108,6314466-6,20
Sujal M.,Patel,c312lz78gfg9tuvomwvxsunpz,7685126,6314466-6,20
Sujal M.,Patel,h0phd6rrckn1nme7y5wg05qn4,7146524,6314466-6,20
Sujal M.,Patel,hpjoq6lcqnynqen7zl3brhvgv,7284065,6314466-6,20
Sujal M.,Patel,j3jztb1ortrxglpcugq431yxp,6633918,6314466-6,20
Sujal M.,Patel,o6ijuaum24vu1knlbv29uzmti,7535903,6314466-6,20
Sujal M.,Patel,q9crejri26bbiz8xxvfdblkqo,8112395,6314466-6,20
